elapsed_sec,walker_x,walker_y,walker_rotZ,shadow_x,shadow_y,shadow_rotZ,pos_distance,rot_diff_deg
0.100,-215.586,194.588,108.842,159.930,-415.438,-149.584,716.341,101.574
0.200,-215.586,194.588,108.842,159.930,-415.438,-149.584,716.341,101.574
0.300,-215.586,194.588,108.842,159.930,-415.438,-149.584,716.341,101.574
0.400,-215.586,194.588,110.842,159.930,-415.438,-149.584,716.341,99.574
0.500,-215.586,194.588,102.842,159.930,-415.438,-149.584,716.341,107.574
0.600,-215.586,194.588,90.842,159.930,-415.438,-149.584,716.341,119.574
0.700,-215.586,194.588,78.842,159.930,-415.438,-149.584,716.341,131.574
0.800,-215.586,194.588,68.842,159.930,-415.438,-149.584,716.341,141.574
0.900,-215.586,194.588,78.842,159.930,-415.438,-149.584,716.341,131.574
1.000,-215.586,194.588,90.842,159.930,-415.438,-149.584,716.341,119.574
1.100,-215.586,194.588,102.842,159.930,-415.438,-149.584,716.341,107.574
1.200,-215.586,194.588,108.842,159.930,-415.438,-149.584,716.341,101.574
1.300,-215.586,194.588,108.842,159.930,-415.438,-149.584,716.341,101.574
1.400,-215.586,194.588,110.842,159.930,-415.438,-149.584,716.341,99.574
1.500,-215.586,194.588,118.842,159.930,-415.438,-149.584,716.341,91.574
1.600,-215.586,194.588,128.842,159.930,-415.438,-149.584,716.341,81.574
1.700,-215.586,194.588,140.842,159.930,-415.438,-149.584,716.341,69.574
1.800,-215.586,194.588,148.842,159.930,-415.438,-149.584,716.341,61.574
1.900,-215.586,194.588,148.842,159.930,-415.438,-149.584,716.341,61.574
2.000,-215.586,194.588,152.842,159.930,-415.438,-149.584,716.341,57.574
2.100,-215.586,194.588,164.842,159.930,-415.438,-149.584,716.341,45.574
2.200,-215.586,194.588,172.842,159.930,-415.438,-149.584,716.341,37.574
2.300,-215.586,194.588,-177.158,159.930,-415.438,-149.584,716.341,27.574
2.400,-215.586,194.588,-177.158,159.930,-415.438,-149.584,716.341,27.574
2.500,-215.586,194.588,-177.158,159.930,-415.438,-149.584,716.341,27.574
2.600,-215.586,194.588,-177.158,159.930,-415.438,-149.584,716.341,27.574
2.700,-213.935,161.329,-177.158,159.930,-415.438,-149.584,687.339,27.574
2.800,-211.459,111.440,-177.158,159.930,-415.438,-149.584,644.617,27.574
2.900,-212.178,61.500,178.842,159.930,-415.438,-149.584,604.925,31.574
3.000,-208.668,20.074,-169.158,159.930,-415.438,-149.584,570.557,19.574
3.100,-208.668,20.074,-157.158,159.930,-415.438,-149.584,570.557,7.574
3.200,-208.668,20.074,-147.158,159.930,-415.438,-149.584,570.557,2.426
3.300,-208.668,20.074,-141.158,159.930,-415.438,-149.584,570.557,8.426
3.400,-208.668,20.074,-141.158,159.930,-415.438,-149.584,570.557,8.426
3.500,-177.341,-18.831,-141.158,159.930,-415.438,-149.584,520.623,8.426
3.600,-146.014,-57.736,-141.158,159.930,-415.438,-149.584,470.693,8.426
3.700,-114.686,-96.642,-141.158,159.930,-415.438,-149.584,420.768,8.426
3.800,-83.359,-135.547,-141.158,159.930,-415.438,-149.584,370.849,8.426
3.900,-52.032,-174.452,-141.158,159.930,-415.438,-149.584,320.940,8.426
4.000,-19.812,-212.612,-139.158,159.930,-415.438,-149.584,271.009,10.426
4.100,13.503,-249.819,-137.158,159.930,-415.438,-149.584,221.067,12.426
4.200,49.535,-284.402,-133.158,159.930,-415.438,-149.584,171.340,16.426
4.300,86.362,-318.138,-131.158,159.930,-415.438,-149.584,121.982,18.426
4.400,105.166,-334.575,-131.158,159.930,-415.438,-149.584,97.663,18.426
4.500,105.166,-334.575,-131.158,159.930,-415.438,-149.584,97.663,18.426
4.600,105.166,-334.575,-135.158,159.930,-415.438,-149.584,97.663,14.426
4.700,105.166,-334.575,-143.158,159.930,-415.438,-149.584,97.663,6.426
4.800,105.166,-334.575,-143.158,159.930,-415.438,-149.584,97.663,6.426
4.900,105.166,-334.575,-145.158,159.930,-415.438,-149.584,97.663,4.426
5.000,105.166,-334.575,-145.158,159.930,-415.438,-149.584,97.663,4.426
5.100,135.799,-374.006,-141.158,159.930,-415.438,-149.584,47.947,8.426
