elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz,distance,angle
0.100,646.018,-380.380,-95.881,-49.109,-35.497,-100.078,775.980,4.197
0.200,646.018,-380.380,-95.881,-49.109,-35.497,-100.078,775.980,4.197
0.300,646.018,-380.380,-95.881,-49.109,-35.497,-100.078,775.980,4.197
0.400,646.018,-380.380,-95.881,-49.109,-35.497,-100.078,775.980,4.197
0.500,646.018,-380.380,-97.881,-49.109,-35.497,-100.078,775.980,2.197
0.600,646.018,-380.380,-97.881,-49.109,-35.497,-100.078,775.980,2.197
0.700,646.018,-380.380,-97.881,-49.109,-35.497,-100.078,775.980,2.197
0.800,646.018,-380.380,-97.881,-49.109,-35.497,-100.078,775.980,2.197
0.900,646.018,-380.380,-89.881,-49.109,-35.497,-100.078,775.980,10.197
1.000,646.018,-380.380,-77.881,-49.109,-35.497,-100.078,775.980,22.197
1.100,646.018,-380.380,-75.881,-49.109,-35.497,-100.078,775.980,24.197
1.200,646.018,-380.380,-79.881,-49.109,-35.497,-100.078,775.980,20.197
1.300,646.018,-380.380,-89.881,-49.109,-35.497,-100.078,775.980,10.197
1.400,646.018,-380.380,-99.881,-49.109,-35.497,-100.078,775.980,0.197
1.500,646.018,-380.380,-107.881,-49.109,-35.497,-100.078,775.980,7.803
1.600,646.018,-380.380,-111.881,-49.109,-35.497,-100.078,775.980,11.803
1.700,646.018,-380.380,-119.881,-49.109,-35.497,-100.078,775.980,19.803
1.800,646.018,-380.380,-117.881,-49.109,-35.497,-100.078,775.980,17.803
1.900,646.018,-380.380,-117.881,-49.109,-35.497,-100.078,775.980,17.803
2.000,646.018,-380.380,-117.881,-49.109,-35.497,-100.078,775.980,17.803
2.100,646.018,-380.380,-117.881,-49.109,-35.497,-100.078,775.980,17.803
2.200,637.186,-375.707,-117.881,-49.109,-35.497,-100.078,765.991,17.803
2.300,584.139,-347.643,-117.881,-49.109,-35.497,-100.078,706.002,17.803
2.400,531.093,-319.580,-117.881,-49.109,-35.497,-100.078,646.017,17.803
2.500,478.047,-291.516,-117.881,-49.109,-35.497,-100.078,586.037,17.803
2.600,424.999,-263.452,-117.881,-49.109,-35.497,-100.078,526.062,17.803
2.700,371.954,-235.388,-117.881,-49.109,-35.497,-100.078,466.101,17.803
2.800,318.899,-207.320,-117.881,-49.109,-35.497,-100.078,406.144,17.803
2.900,265.064,-180.814,-115.881,-49.109,-35.497,-100.078,346.152,15.803
3.000,211.079,-154.623,-115.881,-49.109,-35.497,-100.078,286.162,15.803
3.100,157.085,-128.427,-115.881,-49.109,-35.497,-100.078,226.168,15.803
3.200,103.092,-102.232,-115.881,-49.109,-35.497,-100.078,166.188,15.803
3.300,49.098,-76.036,-115.881,-49.109,-35.497,-100.078,106.245,15.803
3.400,22.092,-62.934,-115.881,-49.109,-35.497,-100.078,76.304,15.803
3.500,22.092,-62.934,-115.881,-49.109,-35.497,-100.078,76.304,15.803
3.600,13.093,-58.568,-115.881,-49.109,-35.497,-100.078,66.342,15.803
3.700,-40.893,-32.377,-115.881,-49.109,-35.497,-100.078,8.788,15.803
3.800,-49.901,-28.006,-115.881,-49.109,-35.497,-100.078,7.532,15.803
3.900,-49.901,-28.006,-115.881,-49.109,-35.497,-100.078,7.532,15.803
4.000,-49.901,-28.006,-115.881,-49.109,-35.497,-100.078,7.532,15.803
